epoch  test_loss    filename
------------------------------------------------------------
0      -5.5932      gpu0_0_-5.593200_net_detector.pth
1      -5.872079    gpu0_1_-5.872079_net_detector.pth
2      -5.928886    gpu0_2_-5.928886_net_detector.pth
3      -6.280386    gpu0_3_-6.280386_net_detector.pth
4      -6.254919    gpu0_4_-6.254919_net_detector.pth
5      -6.546357    gpu0_5_-6.546357_net_detector.pth
6      -6.414777    gpu0_6_-6.414777_net_detector.pth
7      -6.409396    gpu0_7_-6.409396_net_detector.pth
8      -6.575368    gpu0_8_-6.575368_net_detector.pth
9      -6.790095    gpu0_9_-6.790095_net_detector.pth
10     -6.687156    gpu0_10_-6.687156_net_detector.pth
11     -6.837017    gpu0_11_-6.837017_net_detector.pth
12     -6.837395    gpu0_12_-6.837395_net_detector.pth
13     -6.861541    gpu0_13_-6.861541_net_detector.pth
14     -6.863027    gpu0_14_-6.863027_net_detector.pth
15     -6.841126    gpu0_15_-6.841126_net_detector.pth
16     -6.980911    gpu0_16_-6.980911_net_detector.pth
17     -6.886086    gpu0_17_-6.886086_net_detector.pth
18     -6.86867     gpu0_18_-6.868670_net_detector.pth
19     -6.96437     gpu0_19_-6.964370_net_detector.pth
20     -6.89265     gpu0_20_-6.892650_net_detector.pth
21     -6.86002     gpu0_21_-6.860020_net_detector.pth
22     -6.969788    gpu0_22_-6.969788_net_detector.pth
23     -7.025199    gpu0_23_-7.025199_net_detector.pth
24     -6.861303    gpu0_24_-6.861303_net_detector.pth
25     -7.04488     gpu0_25_-7.044880_net_detector.pth
26     -7.113377    gpu0_26_-7.113377_net_detector.pth
27     -7.16052     gpu0_27_-7.160520_net_detector.pth
28     -6.770136    gpu0_28_-6.770136_net_detector.pth
29     -7.252639    gpu0_29_-7.252639_net_detector.pth
30     -7.252398    gpu0_30_-7.252398_net_detector.pth
31     -6.978829    gpu0_31_-6.978829_net_detector.pth
32     -7.17372     gpu0_32_-7.173720_net_detector.pth
33     -7.089081    gpu0_33_-7.089081_net_detector.pth
34     -7.246612    gpu0_34_-7.246612_net_detector.pth
35     -7.188855    gpu0_35_-7.188855_net_detector.pth
36     -7.231913    gpu0_36_-7.231913_net_detector.pth
37     -7.179191    gpu0_37_-7.179191_net_detector.pth
38     -7.078029    gpu0_38_-7.078029_net_detector.pth
39     -7.277209    gpu0_39_-7.277209_net_detector.pth
40     -7.122253    gpu0_40_-7.122253_net_detector.pth
41     -7.362354    gpu0_41_-7.362354_net_detector.pth
42     -7.356299    gpu0_42_-7.356299_net_detector.pth
43     -7.337113    gpu0_43_-7.337113_net_detector.pth
44     -7.374643    gpu0_44_-7.374643_net_detector.pth
45     -7.441839    gpu0_45_-7.441839_net_detector.pth
46     -7.377521    gpu0_46_-7.377521_net_detector.pth
47     -7.447934    gpu0_47_-7.447934_net_detector.pth
48     -7.433448    gpu0_48_-7.433448_net_detector.pth
49     -7.469153    gpu0_49_-7.469153_net_detector.pth
50     -7.431162    gpu0_50_-7.431162_net_detector.pth
51     -7.157147    gpu0_51_-7.157147_net_detector.pth
52     -7.395774    gpu0_52_-7.395774_net_detector.pth
53     -7.359171    gpu0_53_-7.359171_net_detector.pth
54     -7.475078    gpu0_54_-7.475078_net_detector.pth
55     -7.44066     gpu0_55_-7.440660_net_detector.pth
56     -7.441947    gpu0_56_-7.441947_net_detector.pth
57     -7.256538    gpu0_57_-7.256538_net_detector.pth
58     -7.495801    gpu0_58_-7.495801_net_detector.pth
59     -7.441458    gpu0_59_-7.441458_net_detector.pth
60     -7.498909    gpu0_60_-7.498909_net_detector.pth
61     -7.47714     gpu0_61_-7.477140_net_detector.pth
62     -7.457396    gpu0_62_-7.457396_net_detector.pth
63     -7.491125    gpu0_63_-7.491125_net_detector.pth
64     -7.498603    gpu0_64_-7.498603_net_detector.pth
65     -7.522795    gpu0_65_-7.522795_net_detector.pth
66     -7.445882    gpu0_66_-7.445882_net_detector.pth
67     -7.513821    gpu0_67_-7.513821_net_detector.pth
68     -7.498051    gpu0_68_-7.498051_net_detector.pth
69     -7.387005    gpu0_69_-7.387005_net_detector.pth
70     -7.554741    gpu0_70_-7.554741_net_detector.pth
71     -7.519903    gpu0_71_-7.519903_net_detector.pth
72     -7.401977    gpu0_72_-7.401977_net_detector.pth
73     -7.388424    gpu0_73_-7.388424_net_detector.pth
74     -7.526638    gpu0_74_-7.526638_net_detector.pth
75     -7.491007    gpu0_75_-7.491007_net_detector.pth
76     -7.556839    gpu0_76_-7.556839_net_detector.pth
77     -7.492479    gpu0_77_-7.492479_net_detector.pth
78     -7.51554     gpu0_78_-7.515540_net_detector.pth
79     -7.51231     gpu0_79_-7.512310_net_detector.pth
80     -7.584125    gpu0_80_-7.584125_net_detector.pth
81     -7.581681    gpu0_81_-7.581681_net_detector.pth
82     -7.623008    gpu0_82_-7.623008_net_detector.pth
83     -7.613194    gpu0_83_-7.613194_net_detector.pth
